,name,domain,SPF,DMARC,DKIM
384,Sichuan Fine Art Institute,zsb.scfai.edu.cn,False,False,False
385,Zhejiang Sci-Tech University,zstu.edu.cn,True,True,False
386,Zhongshan University,zsu.edu.cn,False,False,False
387,Zhengzhou Grain University,zzgc.edu.cn,False,False,False
388,Zhengzhou University of Technology,zzut.edu.cn,True,False,False
389,Changchun University of Science and Technology,cust.edu.cn,True,True,False
390,Guangzhou College of South China University of Technology,stu.gcu.edu.cn,True,False,False
391,Xihua University,xhu.edu.cn,False,False,False
392,Nanjing University of Information Science and Technology,nuist.edu.cn,True,False,False
393,Luoyang Normal University,lynu.edu.cn,False,False,False
394,Hubei Business College,hbc.edu.cn,True,False,False
